,Kod,Date,Value
426,415000,2003,331.0
427,416000,2003,244.0
428,417000,2003,140.0
429,418000,2003,467.0
430,419000,2003,293.0
431,461000,2003,1589.0
432,462000,2003,452.0
433,463000,2003,713.0
434,464000,2003,484.0
435,601000,2003,757.0
436,602000,2003,453.0
437,603000,2003,467.0
438,604000,2003,299.0
439,605000,2003,294.0
440,606000,2003,583.0
441,607000,2003,627.0
442,608000,2003,608.0
443,609000,2003,829.0
444,610000,2003,265.0
445,611000,2003,586.0
446,612000,2003,403.0
447,613000,2003,248.0
448,614000,2003,553.0
449,615000,2003,365.0
450,616000,2003,348.0
451,617000,2003,333.0
452,618000,2003,457.0
453,619000,2003,244.0
454,620000,2003,642.0
455,661000,2003,227.0
456,662000,2003,269.0
457,663000,2003,1332.0
458,664000,2003,174.0
459,801000,2003,220.0
460,802000,2003,208.0
461,803000,2003,197.0
462,804000,2003,324.0
463,805000,2003,146.0
464,806000,2003,174.0
465,807000,2003,154.0
466,808000,2003,246.0
467,809000,2003,302.0
468,810000,2003,365.0
469,811000,2003,445.0
470,812000,2003,133.0
471,861000,2003,311.0
472,862000,2003,336.0
473,1001000,2003,453.0
474,1002000,2003,622.0
475,1003000,2003,290.0
476,1004000,2003,366.0
477,1005000,2003,527.0
478,1006000,2003,360.0
479,1007000,2003,536.0
480,1008000,2003,674.0
481,1009000,2003,306.0
482,1010000,2003,535.0
483,1011000,2003,292.0
484,1012000,2003,770.0
485,1013000,2003,259.0
486,1014000,2003,650.0
487,1015000,2003,245.0
488,1016000,2003,749.0
489,1017000,2003,471.0
490,1018000,2003,279.0
491,1019000,2003,327.0
492,1020000,2003,800.0
493,1021000,2003,235.0
494,1061000,2003,3962.0
495,1062000,2003,410.0
496,1063000,2003,206.0
497,1201000,2003,419.0
498,1202000,2003,409.0
499,1203000,2003,630.0
500,1204000,2003,271.0
