,NR,WOJEWÓDZTWO,KOD STARY,KOD NOWY,NAZWA STACJI,MIEJSCOWOSC,ADRES,lats,lngs
200,201,ŚWIĘTOKRZYSKIE,SkStaracZlota2,SkStaraZlota,"WIOŚ, Starachowice, ul. Złota",Starachowice,ul. Złota,51.0499873,21.0850893
201,202,ŚWIĘTOKRZYSKIE,SkSwKrzyzZM,SkSwietKrzyz,Stacja Monitoringu UH-P w Kielcach,Święty Krzyż,,50.8601134,21.0477071
202,203,ŚWIĘTOKRZYSKIE,SkPolanTrzc,SkTrzciOsiek,Trzcianka,Trzcianka,Trzcianka 7,50.8438159,21.070638
203,204,ŚLĄSKIE,SlBielbBiel_kossa,SlBielKossak,Bielsko B._kossak-WIOŚ,Bielsko-Biała,ul. Kossak-Szczuckiej,49.8139207,19.0251987
204,205,ŚLĄSKIE,SlBielbBiel_stern,SlBielSterni,Bielsko-Biała_sternicza,Bielsko-Biała,ul. Sternicza 4,49.8076869,19.023212
205,206,ŚLĄSKIE,SlCieszCies_13mic,SlCiesMickie,Cieszyn_mickiewi13-WIOŚ,Cieszyn,ul. Mickiewicza 13,49.7387828,18.6383981
206,207,ŚLĄSKIE,SlCzerKopaln,SlCzerKopaln,Czerwionka Leszczyny Kopalniana,Czerwionka-Leszczyny,ul. Kopalniana,50.1630322,18.6588167
207,208,ŚLĄSKIE,SlCzestCzes_arkr1,SlCzestoArmK,Częstochowa_armiikrajowej - WIOŚ,Częstochowa,ul. Armii Krajowej 2,50.8165324,19.1190237
208,209,ŚLĄSKIE,SlCzestCzes_baczy,SlCzestoBacz,Częstochowa_bacz-WIOŚ,Częstochowa,ul. Baczyńskiego 2,50.835173,19.1272689
209,210,ŚLĄSKIE,SlCzestCzes_zana6,SlCzestoZana,Czestochowa_zana-WIOŚ,Częstochowa,ul. Zana 6,50.8017911,19.1065626
210,211,ŚLĄSKIE,SlDabroDabr_1000L,SlDabro1000L,DąbGór._1000-lecia-WIOŚ,Dąbrowa Górnicza,ul. 1000-lecia 25 a,50.32922929999999,19.2305355
211,212,ŚLĄSKIE,SlGliwiGliw_mewy,SlGliwicMewy,Gliwice_mewy-WIOŚ,Gliwice,ul. Mewy 34,50.2790986,18.6552563
212,213,ŚLĄSKIE,SlGodowWodz_wodzi,SlGodGliniki,Godów manualny - WIOŚ,Godów,ul. Gliniki,49.9337418,18.4792978
213,214,ŚLĄSKIE,SlKatowKato_kossu,SlKatoKossut,Katowice_kossu-WIOŚ,Katowice,ul. Kossutha 6,50.2650298,18.9758351
214,215,ŚLĄSKIE,SlKatowKato_aleja,SlKatoPlebA4,Katowice_komunikacyjna-WIOŚ,Katowice,al. Górnośląska,50.2447558,19.0362121
