,Wojewodztwo,ICD10,Rok,Liczba
480,2,C31,2003,36
481,2,C31,2004,36
482,2,C31,2005,36
483,2,C31,2006,36
484,2,C31,2007,36
485,2,C31,2008,36
486,2,C31,2009,36
487,2,C31,2010,36
488,2,C31,2011,36
489,2,C31,2012,36
490,2,C31,2013,7
491,2,C31,2014,36
492,2,C31,2015,36
493,2,C32,1999,36
494,2,C32,2000,36
495,2,C32,2001,36
496,2,C32,2002,36
497,2,C32,2003,36
498,2,C32,2004,36
499,2,C32,2005,36
500,2,C32,2006,36
501,2,C32,2007,36
502,2,C32,2008,36
503,2,C32,2009,36
504,2,C32,2010,36
505,2,C32,2011,36
506,2,C32,2012,36
507,2,C32,2013,18
508,2,C32,2014,36
509,2,C32,2015,36
510,2,C33,1999,36
511,2,C33,2000,36
512,2,C33,2001,36
513,2,C33,2002,36
514,2,C33,2003,36
515,2,C33,2004,18
516,2,C33,2005,36
517,2,C33,2006,18
518,2,C33,2007,36
519,2,C33,2008,36
520,2,C33,2009,36
521,2,C33,2010,36
522,2,C33,2011,36
523,2,C33,2012,36
524,2,C33,2013,5
525,2,C33,2014,36
526,2,C33,2015,36
527,2,C34,1999,36
528,2,C34,2000,36
529,2,C34,2001,36
530,2,C34,2002,36
531,2,C34,2003,36
532,2,C34,2004,36
533,2,C34,2005,36
534,2,C34,2006,36
535,2,C34,2007,36
536,2,C34,2008,36
537,2,C34,2009,36
538,2,C34,2010,36
539,2,C34,2011,36
540,2,C34,2012,36
541,2,C34,2013,23
542,2,C34,2014,36
543,2,C34,2015,36
544,2,C37,1999,36
545,2,C37,2000,36
546,2,C37,2001,36
547,2,C37,2002,36
548,2,C37,2003,36
549,2,C37,2004,36
550,2,C37,2005,36
551,2,C37,2006,36
552,2,C37,2007,18
553,2,C37,2008,18
554,2,C37,2009,36
555,2,C37,2010,18
556,2,C37,2011,36
557,2,C37,2012,36
558,2,C37,2013,2
559,2,C37,2014,36
560,2,C37,2015,36
561,2,C38,1999,36
562,2,C38,2000,36
563,2,C38,2001,36
564,2,C38,2002,36
565,2,C38,2003,36
566,2,C38,2004,36
567,2,C38,2005,36
568,2,C38,2006,36
569,2,C38,2007,36
570,2,C38,2008,36
571,2,C38,2009,36
572,2,C38,2010,36
573,2,C38,2011,36
574,2,C38,2012,36
575,2,C38,2013,12
576,2,C38,2014,36
577,2,C38,2015,36
578,2,C39,1999,18
579,2,C39,2001,18
580,2,C39,2004,18
581,2,C39,2005,36
582,2,C39,2008,18
583,2,C39,2009,18
584,2,C39,2010,36
585,2,C39,2011,36
586,2,C39,2012,36
587,2,C39,2013,2
588,2,C39,2014,18
589,2,C39,2015,36
590,2,C40,1999,36
591,2,C40,2000,36
592,2,C40,2001,36
593,2,C40,2002,36
594,2,C40,2003,36
595,2,C40,2004,36
596,2,C40,2005,36
597,2,C40,2006,36
598,2,C40,2007,36
599,2,C40,2008,36
600,2,C40,2009,36
601,2,C40,2010,36
602,2,C40,2011,36
603,2,C40,2012,36
604,2,C40,2013,7
605,2,C40,2014,36
606,2,C40,2015,36
607,2,C41,1999,36
608,2,C41,2000,36
609,2,C41,2001,36
610,2,C41,2002,36
611,2,C41,2003,36
612,2,C41,2004,36
613,2,C41,2005,36
614,2,C41,2006,36
615,2,C41,2007,36
616,2,C41,2008,36
617,2,C41,2009,36
618,2,C41,2010,36
619,2,C41,2011,36
620,2,C41,2012,36
621,2,C41,2013,10
622,2,C41,2014,36
623,2,C41,2015,36
624,2,C43,1999,36
625,2,C43,2000,36
626,2,C43,2001,36
627,2,C43,2002,36
628,2,C43,2003,36
629,2,C43,2004,36
630,2,C43,2005,36
631,2,C43,2006,36
632,2,C43,2007,36
633,2,C43,2008,36
634,2,C43,2009,36
635,2,C43,2010,36
636,2,C43,2011,36
637,2,C43,2012,36
638,2,C43,2013,29
639,2,C43,2014,36
640,2,C43,2015,36
641,2,C44,1999,36
642,2,C44,2000,36
643,2,C44,2001,36
644,2,C44,2002,36
645,2,C44,2003,36
646,2,C44,2004,36
647,2,C44,2005,36
648,2,C44,2006,36
649,2,C44,2007,36
650,2,C44,2008,36
651,2,C44,2009,36
652,2,C44,2010,36
653,2,C44,2011,36
654,2,C44,2012,36
655,2,C44,2013,26
656,2,C44,2014,36
657,2,C44,2015,36
658,2,C45,1999,36
659,2,C45,2000,36
660,2,C45,2001,36
661,2,C45,2002,36
662,2,C45,2003,36
663,2,C45,2004,36
664,2,C45,2005,36
665,2,C45,2006,18
666,2,C45,2007,36
667,2,C45,2008,36
668,2,C45,2009,36
669,2,C45,2010,36
670,2,C45,2011,36
671,2,C45,2012,36
672,2,C45,2013,11
673,2,C45,2014,36
674,2,C45,2015,36
675,2,C46,2007,36
676,2,C46,2008,36
677,2,C46,2010,36
678,2,C46,2012,36
679,2,C46,2013,1
680,2,C46,2014,18
681,2,C46,2015,36
682,2,C47,2005,18
683,2,C47,2006,36
684,2,C47,2007,18
