Kod,Date,Value
1810000,2012,"0,0"
1811000,2012,"1,8"
1812000,2012,"0,3"
1813000,2012,"0,2"
1815000,2012,"0,3"
1816000,2012,"0,3"
1818000,2012,"3,1"
1819000,2012,"0,0"
1820000,2012,"0,0"
1821000,2012,"9,3"
1861000,2012,"2,9"
1862000,2012,"1,7"
1863000,2012,"4,5"
1864000,2012,"2,1"
2001000,2012,"3,0"
2002000,2012,"2,1"
2003000,2012,"2,3"
2004000,2012,"0,9"
2005000,2012,"2,5"
2006000,2012,"0,6"
2007000,2012,"0,0"
2009000,2012,"0,0"
2010000,2012,"0,6"
2011000,2012,"0,0"
2012000,2012,"0,2"
2013000,2012,"0,0"
2014000,2012,"0,6"
2061000,2012,"2,5"
2062000,2012,"3,1"
2063000,2012,"6,4"
2201000,2012,"3,1"
2202000,2012,"3,0"
2203000,2012,"5,9"
2204000,2012,"2,8"
2205000,2012,"0,0"
2206000,2012,"3,3"
2207000,2012,"3,9"
2208000,2012,"2,8"
2209000,2012,"4,6"
2210000,2012,"0,8"
2211000,2012,"7,6"
2212000,2012,"3,4"
2213000,2012,"2,1"
2214000,2012,"1,2"
2215000,2012,"1,5"
2216000,2012,"2,7"
2261000,2012,"2,7"
2262000,2012,"1,5"
2263000,2012,"3,0"
2264000,2012,"4,2"
2401000,2012,"2,5"
2402000,2012,"0,8"
2403000,2012,"1,7"
2404000,2012,"1,2"
2405000,2012,"1,0"
2406000,2012,"0,4"
2407000,2012,"3,8"
2408000,2012,"0,0"
2409000,2012,"0,3"
2410000,2012,"0,3"
2411000,2012,"0,8"
2412000,2012,"0,2"
2413000,2012,"0,8"
2414000,2012,"2,9"
2415000,2012,"0,8"
2416000,2012,"1,7"
2417000,2012,"0,1"
2461000,2012,"1,0"
2462000,2012,"1,7"
2463000,2012,"1,3"
2464000,2012,"1,5"
2465000,2012,"0,4"
2466000,2012,"5,0"
2467000,2012,"1,8"
2468000,2012,"0,9"
2469000,2012,"1,8"
2470000,2012,"0,1"
2471000,2012,"0,5"
2472000,2012,"0,3"
2473000,2012,"4,6"
2474000,2012,"0,2"
2475000,2012,"0,5"
2476000,2012,"0,9"
2477000,2012,"2,2"
2478000,2012,"0,6"
